inst#,actual,predicted,error,prediction,tweet,tweet,ID,SentiReal,SentPredict,SentPredict/2,sentPredictlog,,AVGReal,AVGPredict
130,-1,1,+,0.55,'big drop hedge fund exposure market even sharks dont trust market','big drop hedge fund exposure market even sharks dont trust market',5964148,-0.402,0.55,,,,,
104,-1,-1,,0.87,'infection worries prompt regulatory reviews','infection worries prompt regulatory reviews',7.08621E+17,-0.401,-0.87,-0.435,,,,
51,-1,-1,,0.87,pain,pain,8558993,-0.4,-0.87,-0.435,,,,
125,-1,-1,,0.85,'hospital reits slaughtered','hospital reits slaughtered',36370880,-0.399,-0.85,-0.425,,,,
10,-1,-1,,0.72,'goog googl would suck','goog googl would suck',31971935,-0.398,-0.72,-0.36,,,,
36,-1,-1,,0.82,'iphone really annoying','iphone really annoying',7.19641E+17,-0.398,-0.82,-0.41,,,,
136,-1,-1,,0.92,'breakup cost billions','breakup cost billions',37281790,-0.397,-0.92,-0.46,,,,
172,-1,-1,,0.74,'breaking below support','breaking below support',36124809,-0.397,-0.74,-0.37,,,,
33,-1,1,+,0.72,'falls 18 premarket q3 sales results','falls 18 premarket q3 sales results',5667040,-0.394,0.72,,,,,
43,-1,-1,,0.88,'personal story sharing declining fb feeds start look like twtr','personal story sharing declining fb feeds start look like twtr',7.19634E+17,-0.393,-0.88,-0.44,,,,
121,-1,-1,,0.84,'down 543','down 543',30013492,-0.392,-0.84,-0.42,,,,
20,-1,-1,,0.85,'bad apple','bad apple',7.19532E+17,-0.392,-0.85,-0.425,,,,
72,-1,-1,,1,'4271 float short lo httpstkscoe0dfp','4271 float short lo httpstkscoe0dfp',19949687,-0.392,-1,-0.5,,,,
15,-1,-1,,0.89,'down 12 since alerted short sell 325','down 12 since alerted short sell 325',7.19651E+17,-0.391,-0.89,-0.445,,,,
83,-1,1,+,0.78,'love blood like vampirekeep bleeding','love blood like vampirekeep bleeding',28402613,-0.391,0.78,,,,,
35,-1,1,+,0.92,'okay alibaba ipo hoopla  hide chinese stocks','alibaba ipo hoopla cant hide risk chinese stocks',26919572,-0.39,0.92,,,,,
56,-1,-1,,1,'another sell rating','another sell rating',7.19531E+17,-0.389,-1,-0.5,,,,
35,-1,-1,,0.99,'another sell rating','another sell rating',7.19531E+17,-0.389,-0.99,-0.495,,,,
101,-1,1,+,0.87,'still early entry','still early entry',7.11189E+17,-0.387,0.87,,,,,
159,-1,-1,,0.86,'negative pl hardware','negative pl hardware',6234119,-0.387,-0.86,-0.43,,,,
179,-1,-1,,0.99,'earning play fast 47 puts vrx 34 puts bidu 1825 puts','earning play fast 47 puts vrx 34 puts bidu 1825 puts',7.19533E+17,-0.387,-0.99,-0.495,,,,
111,-1,-1,,0.95,'earning play fast 47 puts vrx 34 puts bidu 1825 puts','earning play fast 47 puts vrx 34 puts bidu 1825 puts',7.19533E+17,-0.387,-0.95,-0.475,,,,
20,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
54,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
91,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
95,-1,-1,,0.96,'time short tsla','time short tsla',7.19572E+17,-0.385,-0.96,-0.48,,,,
151,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
78,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
139,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
152,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.385,-1,-0.5,,,,
46,-1,-1,,0.86,'getting kneecapped bexp selling dirt cheap','getting kneecapped bexp selling dirt cheap',5834712,-0.384,-0.86,-0.43,,,,
61,-1,-1,,0.82,'losers profit','losers profit',15359878,-0.383,-0.82,-0.41,,,,
130,-1,-1,,0.78,'not time buy','not time buy',29978808,-0.382,-0.78,-0.39,,,,
114,-1,-1,,0.76,'not time buy','not time buy',29978808,-0.382,-0.76,-0.38,,,,
157,-1,-1,,0.76,'small caps threatening descending triangle breakdown','small caps threatening descending triangle breakdown',22957112,-0.382,-0.76,-0.38,,,,
178,-1,1,+,0.84,kre,kre,10989058,-0.381,0.84,,,,,
67,-1,-1,,0.67,'tsla recall cover short','tsla recall cover short',7.19572E+17,-0.381,-0.67,-0.335,,,,
7,-1,1,+,0.51,'report apple signs up googles cloud uses much less amazon','report apple signs up googles cloud uses much less amazon',7.10221E+17,-0.38,0.51,,,,,
47,-1,-1,,0.9,'placed order sell 5 shares','placed order sell 5 shares',7.09459E+17,-0.379,-0.9,-0.45,,,,
122,-1,-1,,0.69,'got short even work you jump money trade','got short even work you jump money trade',7.19572E+17,-0.378,-0.69,-0.345,,,,
99,-1,-1,,1,short,short,7.19583E+17,-0.377,-1,-0.5,,,,
122,-1,-1,,0.54,'commodity weakness','commodity weakness',17806735,-0.376,-0.54,-0.27,,,,
191,-1,-1,,0.64,'tesla dropped hard j morning','tesla dropped hard j morning',7.1954E+17,-0.376,-0.64,-0.32,,,,
165,-1,-1,,0.76,'agree risky watching closely','agree risky watching closely',11156682,-0.375,-0.76,-0.38,,,,
36,-1,-1,,0.7,'valuation downgraded today would imagine trade red least day','valuation downgraded today would imagine trade red least day',12732488,-0.375,-0.7,-0.35,,,,
42,-1,-1,,0.84,'stock trading lower today warning upbeat earnings results','stock trading lower today warning upbeat earnings results',31500543,-0.375,-0.84,-0.42,,,,
9,-1,-1,,0.74,'european debt keeps stocks down','european debt keeps stocks down',5835477,-0.374,-0.74,-0.37,,,,
168,-1,1,+,0.6,getting,getting,7.084E+17,-0.374,0.6,,,,,
113,-1,-1,,0.79,'gets 26 patents goes down','gets 26 patents goes down',14646229,-0.373,-0.79,-0.395,,,,
55,-1,-1,,1,'fb ibb still weak','fb ibb still weak',7.19525E+17,-0.373,-1,-0.5,,,,
14,-1,-1,,0.86,'seems like helping downtrend','seems like helping downtrend',12793642,-0.372,-0.86,-0.43,,,,
66,-1,-1,,0.8,'short 618 retracement trendline resistance','short 618 retracement trendline resistance',7.08448E+17,-0.371,-0.8,-0.4,,,,
144,-1,-1,,1,'monday sold','monday sold',7.19514E+17,-0.37,-1,-0.5,,,,
43,-1,-1,,0.51,'wants lower up waves getting smaller','wants lower up waves getting smaller',7606330,-0.37,-0.51,-0.255,,,,
192,-1,-1,,0.98,'monday sold','monday sold',7.19514E+17,-0.37,-0.98,-0.49,,,,
158,-1,1,+,0.55,'oil slid fouryear low opec kept oil production unchange','oil slid fouryear low opec kept oil production unchange',29685449,-0.369,0.55,,,,,
53,-1,-1,,0.52,'trouble earnings gap still unfilled','trouble earnings gap still unfilled',23856399,-0.368,-0.52,-0.26,,,,
114,-1,-1,,0.68,'need fb unless you want content censored','need fb unless you want content censored',7.19689E+17,-0.367,-0.68,-0.34,,,,
147,-1,-1,,0.9,'defect recalls','defect recalls',7.19908E+17,-0.366,-0.9,-0.45,,,,
18,-1,-1,,0.97,'worst performers today mgm io 6','worst performers today mgm io 6',5679790,-0.365,-0.97,-0.485,,,,
17,-1,-1,,1,short,short,7.1013E+17,-0.363,-1,-0.5,,,,
144,-1,1,+,0.97,'usio ops profitable','usio ops profitable',36991184,-0.362,0.97,,,,,
90,-1,-1,,0.69,'mdxg lower','mdxg lower',7.19508E+17,-0.361,-0.69,-0.345,,,,
27,-1,-1,,0.68,'bond buying signaling bad moves market','bond buying signaling bad moves market',5664221,-0.361,-0.68,-0.34,,,,
94,-1,-1,,0.91,'hopefully peeps shorting camt scalps','hopefully peeps shorting camt scalps',24417983,-0.36,-0.91,-0.455,,,,
117,-1,-1,,0.86,'investors nervous outlook','investors nervous outlook',11372664,-0.357,-0.86,-0.43,,,,
69,-1,1,+,0.55,'valuation high net cash','valuation high net cash',7.19875E+17,-0.355,0.55,,,,,
84,-1,-1,,0.99,'fb ibb still weak','fb ibb still weak',7.19525E+17,-0.355,-0.99,-0.495,,,,
49,-1,-1,,0.67,'bid reargument denied judge','bid reargument denied judge',6137296,-0.354,-0.67,-0.335,,,,
113,-1,1,+,0.73,'brent back below 49','brent back below 49',31881766,-0.353,0.73,,,,,
7,-1,-1,,0.74,'notokay wake up 20s worth look','isnt cheap wake up 20s worth look',5493669,-0.353,-0.74,-0.37,,,,
67,-1,-1,,0.81,'looking weak','looking weak',13685639,-0.352,-0.81,-0.405,,,,
160,-1,-1,,0.82,name,name,15325202,-0.352,-0.82,-0.41,,,,
67,-1,-1,,1,'down 11 short expectations','down 11 short expectations',7.19911E+17,-0.352,-1,-0.5,,,,
157,-1,-1,,0.99,'may try short','may try short',6417259,-0.352,-0.99,-0.495,,,,
30,-1,-1,,0.71,name,name,15325202,-0.352,-0.71,-0.355,,,,
24,-1,-1,,1,'insiders selling','insiders selling',7.0896E+17,-0.351,-1,-0.5,,,,
152,-1,-1,,0.98,'worst performers today mgm io 6','worst performers today mgm io 6',5679790,-0.351,-0.98,-0.49,,,,
53,-1,-1,,0.79,'momo leaders taken down one one','momo leaders taken down one one',12674557,-0.351,-0.79,-0.395,,,,
19,-1,-1,,1,'insiders selling','insiders selling',7.0896E+17,-0.351,-1,-0.5,,,,
122,-1,-1,,0.97,'insiders selling','insiders selling',7.0896E+17,-0.351,-0.97,-0.485,,,,
124,-1,-1,,0.97,'insiders selling','insiders selling',7.0896E+17,-0.351,-0.97,-0.485,,,,
155,-1,-1,,0.99,'insiders selling','insiders selling',7.0896E+17,-0.351,-0.99,-0.495,,,,
163,-1,-1,,0.96,'refuse worst decisions ever','refuse worst decisions ever',7.19631E+17,-0.35,-0.96,-0.48,,,,
90,-1,-1,,0.68,'bumping head declining daily 8ma overhead resistance','bumping head declining daily 8ma overhead resistance',14320787,-0.35,-0.68,-0.34,,,,
155,-1,-1,,0.78,'weekly 120 puts 283','weekly 120 puts 283',5741531,-0.35,-0.78,-0.39,,,,
11,-1,-1,,0.915,'wont pay anymore real risk','wont pay anymore real risk',7.10188E+17,-0.349,-0.915,-0.4575,,,,
47,-1,-1,,0.98,'wont pay anymore real risk','wont pay anymore real risk',7.10188E+17,-0.349,-0.98,-0.49,,,,
19,-1,-1,,0.912,'wont pay anymore real risk','wont pay anymore real risk',7.10188E+17,-0.349,-0.912,-0.456,,,,
93,-1,-1,,0.98,notokay,'shit broke',7.19533E+17,-0.348,-0.98,-0.49,,,,
95,-1,-1,,0.86,'sold tsla','sold tsla',7.19528E+17,-0.348,-0.86,-0.43,,,,
168,-1,-1,,0.85,'stock splits lipstick pig','stock splits lipstick pig',23569140,-0.347,-0.85,-0.425,,,,
105,-1,-1,,0.76,'tsla auto stock showing gain yeartodate','tsla auto stock showing gain yeartodate',7.1981E+17,-0.347,-0.76,-0.38,,,,
82,-1,1,+,0.58,'crm seems little high also','crm seems little high also',29352447,-0.344,0.58,,,,,
173,-1,-1,,0.87,'sold 20 concentrated stake','sold 20 concentrated stake',7.19615E+17,-0.344,-0.87,-0.435,,,,
148,-1,1,+,0.63,'receivable going zero','receivable going zero',8961086,-0.343,0.63,,,,,
55,-1,-1,,0.87,'shortterm forecast bearish','shortterm forecast bearish',7.11694E+17,-0.343,-0.87,-0.435,,,,
71,-1,-1,,0.89,'htz lower','htz lower',7.19508E+17,-0.341,-0.89,-0.445,,,,
117,-1,1,+,0.53,'double top reject','double top reject',14386410,-0.341,0.53,,,,,
16,-1,1,+,0.63,'issues statement debt ceiling','issues statement debt ceiling',16273216,-0.341,0.63,,,,,
81,-1,-1,,0.91,'new squeeze plays','new squeeze plays',27109636,-0.339,-0.91,-0.455,,,,
171,-1,-1,,0.92,'new squeeze plays','new squeeze plays',27109636,-0.339,-0.92,-0.46,,,,
55,-1,-1,,0.95,'new squeeze plays','new squeeze plays',27109636,-0.339,-0.95,-0.475,,,,
189,-1,-1,,0.77,'buying last round shorts next week','buying last round shorts next week',9169048,-0.339,-0.77,-0.385,,,,
62,-1,-1,,1,short,short,19375545,-0.339,-1,-0.5,,,,
177,-1,-1,,0.86,'buying last round shorts next week','buying last round shorts next week',9169048,-0.339,-0.86,-0.43,,,,
152,-1,-1,,0.54,'seems like good short setup','seems like good short setup',23799413,-0.338,-0.54,-0.27,,,,
126,-1,1,+,0.65,'hangin thread click away cliff drop','hangin thread click away cliff drop',11410429,-0.337,0.65,,,,,
108,-1,-1,,0.99,'tsla recalls 2700 model x vehicle shares volatile','tsla recalls 2700 model x vehicle shares volatile',7.19602E+17,-0.336,-0.99,-0.495,,,,
116,-1,-1,,0.8,'shipments slid 96 lowest quarterly total since 2007 dethrones','shipments slid 96 lowest quarterly total since 2007 dethrones',7.19872E+17,-0.336,-0.8,-0.4,,,,
51,-1,-1,,0.89,'apples iphone se sold flop','apples iphone se sold flop',7.19564E+17,-0.336,-0.89,-0.445,,,,
181,-1,-1,,0.9,'express scripts loses','express scripts loses',7.10884E+17,-0.336,-0.9,-0.45,,,,
164,-1,-1,,0.825,'ron johnson tried failed inject bit apple culture jc penney','ron johnson tried failed inject bit apple culture jc penney',13024560,-0.335,-0.825,-0.4125,,,,
1,-1,-1,,0.95,'took proprietary profit exit notokay option liquidity','took proprietary profit exit didnt like option liquidity',25825005,-0.334,-0.95,-0.475,,,,
17,-1,-1,,0.74,'tsla auto stock showing gain yeartodate','tsla auto stock showing gain yeartodate',7.1981E+17,-0.334,-0.74,-0.37,,,,
127,-1,-1,,0.87,'bad governance not confident core biz','bad governance not confident core biz',7.19619E+17,-0.331,-0.87,-0.435,,,,
131,-1,-1,,1,'debt crisis entered dangerous new phase','debt crisis entered dangerous new phase',5901252,-0.331,-1,-0.5,,,,
51,-1,-1,,0.83,'bad governance not confident core biz','bad governance not confident core biz',7.19619E+17,-0.331,-0.83,-0.415,,,,
40,-1,-1,,0.95,'debt crisis entered dangerous new phase','debt crisis entered dangerous new phase',5901252,-0.331,-0.95,-0.475,,,,
133,-1,-1,,0.95,'debt crisis entered dangerous new phase','debt crisis entered dangerous new phase',5901252,-0.331,-0.95,-0.475,,,,
117,-1,-1,,1,'many traders short','many traders short',7.19501E+17,-0.331,-1,-0.5,,,,
182,-1,-1,,0.99,'debt crisis entered dangerous new phase','debt crisis entered dangerous new phase',5901252,-0.331,-0.99,-0.495,,,,
142,-1,-1,,0.98,'companies shld worried icloud','companies shld worried icloud',5806487,-0.329,-0.98,-0.49,,,,
27,-1,-1,,0.86,'bullshit applestores empty china','bullshit applestores empty china',7.09738E+17,-0.329,-0.86,-0.43,,,,
158,-1,-1,,0.95,'companies shld worried icloud','companies shld worried icloud',5806487,-0.329,-0.95,-0.475,,,,
39,-1,-1,,0.98,'companies shld worried icloud','companies shld worried icloud',5806487,-0.329,-0.98,-0.49,,,,
83,-1,-1,,0.91,'companies shld worried icloud','companies shld worried icloud',5806487,-0.329,-0.91,-0.455,,,,
1,-1,-1,,0.74,'fcx 19 march 36 puts 833','fcx 19 march 36 puts 833',7170859,-0.327,-0.74,-0.37,,,,
197,-1,-1,,0.73,'stares abyss','stares abyss',5277098,-0.325,-0.73,-0.365,,,,
182,-1,-1,,0.69,'stares abyss','stares abyss',5277098,-0.325,-0.69,-0.345,,,,
42,-1,-1,,0.71,'massive logistics capex result missed earnings','massive logistics capex result missed earnings',7.11253E+17,-0.324,-0.71,-0.355,,,,
33,-1,-1,,0.71,'put chum key support next level down careful','put chum key support next level down careful',12288299,-0.32,-0.71,-0.355,,,,
159,-1,-1,,0.6,'eu getting closer charging google android','eu getting closer charging google android',7.0984E+17,-0.319,-0.6,-0.3,,,,
153,-1,1,+,0.79,'nt done good name pass','nt done good name pass',7.10095E+17,-0.319,0.79,,,,,
73,-1,-1,,0.84,'alot worry','alot worry',8331684,-0.319,-0.84,-0.42,,,,
158,-1,-1,,1,'gogo short','gogo short',7.11746E+17,-0.318,-1,-0.5,,,,
19,-1,-1,,0.98,'todays losers','todays losers',7.19652E+17,-0.317,-0.98,-0.49,,,,
146,-1,-1,,0.84,'reasons caution chinese stocks','reasons caution chinese stocks',7.1968E+17,-0.317,-0.84,-0.42,,,,
4,-1,-1,,1,'todays losers','todays losers',7.19652E+17,-0.317,-1,-0.5,,,,
89,-1,-1,,0.98,'todays losers','todays losers',7.19652E+17,-0.317,-0.98,-0.49,,,,
111,-1,-1,,0.98,'todays losers','todays losers',7.19652E+17,-0.317,-0.98,-0.49,,,,
92,-1,-1,,1,'todays losers','todays losers',7.19652E+17,-0.317,-1,-0.5,,,,
141,-1,-1,,0.82,'reasons caution chinese stocks','reasons caution chinese stocks',7.1968E+17,-0.317,-0.82,-0.41,,,,
91,-1,-1,,0.87,'you really think 4 weeks capture 10 impossible','you really think 4 weeks capture 10 impossible',12365784,-0.317,-0.87,-0.435,,,,
52,-1,-1,,0.88,'60 short interest not','60 short interest not',35357697,-0.315,-0.88,-0.44,,,,
128,-1,-1,,0.94,'recalls 2700 model x cars','recalls 2700 model x cars',7.19572E+17,-0.315,-0.94,-0.47,,,,
106,-1,1,+,0.56,'gale stacks up poorly insider ownership','gale stacks up poorly insider ownership',20108220,-0.314,0.56,,,,,
191,-1,-1,,0.85,'gist downgrades apple failed make phone th','gist downgrades apple failed make phone th',15960926,-0.312,-0.85,-0.425,,,,
167,-1,-1,,0.66,'sold 81 calls','sold 81 calls',22410478,-0.312,-0.66,-0.33,,,,
85,-1,-1,,0.74,'embarrassing china numbers','embarrassing china numbers',32574837,-0.312,-0.74,-0.37,,,,
106,-1,-1,,0.75,'highest down volume last 10 days','highest down volume last 10 days',7830634,-0.31,-0.75,-0.375,,,,
90,-1,-1,,0.92,'tesla recall 2700 model x suvs seat issue','tesla recall 2700 model x suvs seat issue',7.19597E+17,-0.31,-0.92,-0.46,,,,
119,-1,-1,,0.81,'think dnf crew get nflx short next 30 days heading earnings','think dnf crew get nflx short next 30 days heading earnings',7.08407E+17,-0.308,-0.81,-0.405,,,,
1,-1,-1,,0.95,'may notokay','may not secure',7.19515E+17,-0.308,-0.95,-0.475,,,,
71,-1,-1,,0.9,'recessions declines','recessions declines',7.08406E+17,-0.307,-0.9,-0.45,,,,
176,-1,-1,,0.9,'recessions declines','recessions declines',7.08406E+17,-0.307,-0.9,-0.45,,,,
149,-1,-1,,0.94,'fb falling','fb falling',7.19528E+17,-0.304,-0.94,-0.47,,,,
1,-1,1,+,0.63,'near 3 drop thats lot','near 3 drop thats lot',31803848,-0.304,0.63,,,,,
26,-1,-1,,0.86,'beaten down hated','beaten down hated',11708632,-0.303,-0.86,-0.43,,,,
125,-1,-1,,0.86,torture,torture,32781578,-0.303,-0.86,-0.43,,,,
64,-1,-1,,0.71,'market getting crushed today','market getting crushed today',21820286,-0.302,-0.71,-0.355,,,,
115,-1,-1,,0.87,'notokay target area','bounced target buy area',5948586,-0.299,-0.87,-0.435,,,,
142,-1,-1,,1,'moodys downgrade','moodys downgrade',6815309,-0.299,-1,-0.5,,,,
190,-1,-1,,1,'moodys downgrade','moodys downgrade',6815309,-0.299,-1,-0.5,,,,
80,-1,-1,,0.86,'banks implode stress tests failing','banks implode stress tests failing',5888204,-0.298,-0.86,-0.43,,,,
82,-1,-1,,0.93,'weak close','weak close',8186981,-0.297,-0.93,-0.465,,,,
6,-1,-1,,0.99,overbought,overbought,7.09741E+17,-0.296,-0.99,-0.495,,,,
138,-1,-1,,0.99,overbought,overbought,7.09741E+17,-0.296,-0.99,-0.495,,,,
54,-1,-1,,0.51,'dont think right fit','dont think right fit',6117808,-0.296,-0.51,-0.255,,,,
180,-1,-1,,1,overbought,overbought,7.09741E+17,-0.296,-1,-0.5,,,,
168,-1,-1,,0.8,'shipments slid 96 lowest quarterly total since 2007 dethrones','shipments slid 96 lowest quarterly total since 2007 dethrones',7.19872E+17,-0.295,-0.8,-0.4,,,,
109,-1,1,+,0.88,'want stock keep going up','want stock keep going up',7.19545E+17,-0.294,0.88,,,,,
52,-1,-1,,0.57,'man one careful','man one careful',19158924,-0.291,-0.57,-0.285,,,,
102,-1,-1,,0.86,'tesla recalling 2700 model x cars','tesla recalling 2700 model x cars',7.19571E+17,-0.291,-0.86,-0.43,,,,
65,-1,-1,,0.96,'decision sell robot business exposes growing pains','decision sell robot business exposes growing pains',7.10576E+17,-0.289,-0.96,-0.48,,,,
170,-1,-1,,0.95,slipping,slipping,7.10885E+17,-0.289,-0.95,-0.475,,,,
77,-1,-1,,0.86,'could pride social media gettin ready fall chart rolling','could pride social media gettin ready fall chart rolling',16095490,-0.287,-0.86,-0.43,,,,
194,-1,1,+,0.82,'grpn much better day fb','grpn much better day fb',8067736,-0.285,0.82,,,,,
165,-1,-1,,0.9,'accuses znga copyright infringement','accuses znga copyright infringement',8980267,-0.284,-0.9,-0.45,,,,
167,-1,-1,,0.92,'shipments slid 96 lowest quarterly total since 2007 dethrones','shipments slid 96 lowest quarterly total since 2007 dethrones',7.19872E+17,-0.283,-0.92,-0.46,,,,
61,-1,-1,,1,'sold xoma','sold xoma',33532903,-0.281,-1,-0.5,,,,
26,-1,-1,,1,'075 trading weak','075 trading weak',7.19519E+17,-0.281,-1,-0.5,,,,
49,-1,-1,,0.78,'elon musks comparision tsla aapl notokay go','elon musks comparision tsla aapl doesnt go well',32648097,-0.277,-0.78,-0.39,,,,
186,-1,1,+,0.9,'lets see one dip','lets see one dip',10524642,-0.274,0.9,,,,,
149,-1,-1,,0.683,'aapl cleary surpassed bb','aapl cleary surpassed bb',12799689,-0.274,-0.683,-0.3415,,,,
110,-1,-1,,0.73,'almost outside day down','almost outside day down',7.10903E+17,-0.274,-0.73,-0.365,,,,
111,-1,1,+,0.835,' aapl',aapl,7607512,-0.27,0.835,,,,,
147,-1,1,+,0.51,'enjoyed shorting anglo last weeks','enjoyed shorting anglo last weeks',7.19835E+17,-0.269,0.51,,,,,
146,-1,-1,,0.94,'spy bubble stock notokay','spy bubble stock buy backs',24972160,-0.268,-0.94,-0.47,,,,
189,-1,-1,,0.8,'not time low lower','not time low lower',7.19549E+17,-0.268,-0.8,-0.4,,,,
72,-1,-1,,0.85,'recall adds reliability issues','recall adds reliability issues',7.19649E+17,-0.267,-0.85,-0.425,,,,
50,-1,-1,,0.81,'bto three 110 puts 134','bto three 110 puts 134',7.19609E+17,-0.267,-0.81,-0.405,,,,
157,-1,-1,,0.72,'wants ta ceo says taxes may make co leave','wants ta ceo says taxes may make co leave',7.19635E+17,-0.265,-0.72,-0.36,,,,
75,-1,-1,,1,'thanks short','thanks short',7.196E+17,-0.264,-1,-0.5,,,,
87,-1,-1,,0.51,'best scenario going forward stock slowly falling everyday','best scenario going forward stock slowly falling everyday',18842089,-0.264,-0.51,-0.255,,,,
127,-1,-1,,0.54,'get ready 560 flush','get ready 560 flush',7971502,-0.264,-0.54,-0.27,,,,
183,-1,-1,,0.96,'weak res','weak res',32903201,-0.263,-0.96,-0.48,,,,
95,-1,-1,,0.59,'relative weakness pretty apparent','relative weakness pretty apparent',25095014,-0.262,-0.59,-0.295,,,,
44,-1,-1,,1,'curing overbought conditions','curing overbought conditions',7.19586E+17,-0.262,-1,-0.5,,,,
181,-1,-1,,0.82,'obby judge garland risk losing case','obby judge garland risk losing case',7.10111E+17,-0.261,-0.82,-0.41,,,,
119,-1,-1,,0.5,'fast 56pc dive','fast 56pc dive',7853493,-0.26,-0.5,-0.25,,,,
37,-1,-1,,0.54,'market seems stuck mud','market seems stuck mud',7790395,-0.259,-0.54,-0.27,,,,
180,-1,1,+,0.71,'consumers keep cautious stance','consumers keep cautious stance',7.09723E+17,-0.258,0.71,,,,,
193,-1,-1,,0.78,'time stomp dreams','time stomp dreams',37450150,-0.258,-0.78,-0.39,,,,
199,-1,1,+,0.71,'18 year old 14 year old never fb mom grandmas though','18 year old 14 year old never fb mom grandmas though',7.19651E+17,-0.258,0.71,,,,,
81,-1,-1,,0.75,'time stomp dreams','time stomp dreams',37450150,-0.258,-0.75,-0.375,,,,
85,-1,-1,,0.79,'facebook down 10 minutes','facebook down 10 minutes',7.19624E+17,-0.258,-0.79,-0.395,,,,
29,-1,-1,,0.51,'push nly investment another time','push nly investment another time',5502351,-0.255,-0.51,-0.255,,,,
181,-1,-1,,0.95,'tiffanys overvalued','tiffanys overvalued',5884846,-0.25,-0.95,-0.475,,,,
178,-1,-1,,0.77,'heading back down not sure goes without news','heading back down not sure goes without news',12992578,-0.25,-0.77,-0.385,,,,
165,-1,-1,,0.55,'im betting 52','im betting 52',11845293,-0.248,-0.55,-0.275,,,,
134,-1,-1,,0.81,'sanofi often wrong end business','sanofi often wrong end business',7.10161E+17,-0.247,-0.81,-0.405,,,,
139,-1,-1,,0.95,slipping,slipping,7.19531E+17,-0.245,-0.95,-0.475,,,,
189,-1,1,+,0.65,'nlsn launching marketing cloud','nlsn launching marketing cloud',7.19901E+17,-0.245,0.65,,,,,
96,-1,1,+,0.84,'would take profits you','would take profits you',34511802,-0.244,0.84,,,,,
18,-1,-1,,0.89,'worst performers','worst performers',7.19542E+17,-0.244,-0.89,-0.445,,,,
22,-1,1,+,0.73,'cold put dent massive horizontal rig production','cold put dent massive horizontal rig production',32704588,-0.237,0.73,,,,,
121,-1,-1,,0.83,'cuts outlook down','cuts outlook down',7.19661E+17,-0.236,-0.83,-0.415,,,,
106,-1,1,+,0.6,'3x etfs subject decay due daily rebalancin careful holding','3x etfs subject decay due daily rebalancin careful holding',30798032,-0.234,0.6,,,,,
74,-1,-1,,0.77,'think may start avoid bios','think may start avoid bios',38897055,-0.23,-0.77,-0.385,,,,
106,-1,-1,,0.66,'wants ta ceo says taxes may make co leave','wants ta ceo says taxes may make co leave',7.19635E+17,-0.23,-0.66,-0.33,,,,
95,-1,-1,,0.8,'weak open goes rg within first 30 mins','weak open goes rg within first 30 mins',7.19628E+17,-0.229,-0.8,-0.4,,,,
92,-1,-1,,0.75,'price experiencing early rejection','price experiencing early rejection',20806486,-0.228,-0.75,-0.375,,,,
18,-1,-1,,0.96,'parties volatility back','parties volatility back',11635675,-0.223,-0.96,-0.48,,,,
174,-1,-1,,0.94,'parties volatility back','parties volatility back',11635675,-0.223,-0.94,-0.47,,,,
137,-1,-1,,0.92,'parties volatility back','parties volatility back',11635675,-0.223,-0.92,-0.46,,,,
91,-1,1,+,0.76,'least you didnt stop','least you didnt stop',9440214,-0.222,0.76,,,,,
16,-1,1,+,0.99,'actively head shoulder progress','actively head shoulder progress',14122182,-0.222,0.99,,,,,
49,-1,1,+,0.56,bidu,bidu,6789490,-0.221,0.56,,,,,
69,-1,-1,,0.93,'ure wish bad news came days earlier','ure wish bad news came days earlier',21048631,-0.221,-0.93,-0.465,,,,
38,-1,1,+,0.69,'50 gain levels','50 gain levels',22981215,-0.22,0.69,,,,,
174,-1,1,+,0.86,'fader play','fader play',14736590,-0.219,0.86,,,,,
41,-1,1,+,0.54,'ripe squeeze','ripe squeeze',8873647,-0.216,0.54,,,,,
140,-1,1,+,0.87,'seeing competition','seeing competition',7.19616E+17,-0.216,0.87,,,,,
190,-1,1,+,0.92,'report apple signs up googles cloud','report apple signs up googles cloud',7.10221E+17,-0.213,0.92,,,,,
2,-1,1,+,0.6,'tsla roll yet','tsla roll yet',7.19628E+17,-0.212,0.6,,,,,
97,-1,-1,,0.9,'sold tsla puts morning','sold tsla puts morning',7.10207E+17,-0.211,-0.9,-0.45,,,,
82,-1,-1,,0.82,'history lack pr shame investors','history lack pr shame investors',10165953,-0.21,-0.82,-0.41,,,,
148,-1,-1,,0.9,bullshit,bullshit,7.1964E+17,-0.209,-0.9,-0.45,,,,
189,-1,-1,,0.74,'wilful infringement not go calculations patent damages aapl','wilful infringement not go calculations patent damages aapl',22612270,-0.207,-0.74,-0.37,,,,
21,-1,-1,,0.66,'one cheerleaders show actual valuation work','one cheerleaders show actual valuation work',7968482,-0.205,-0.66,-0.33,,,,
