

@relation tweet_Train

@attribute tweet string
@attribute positivetweet NUMERIC
@attribute negativetweet NUMERIC
@attribute Sentclass {-1,1}

@data
'positive outcome w lung study58 may see 13d filing soros',1,0,1
'test 1285 coming up',0,0,1
'rsi lowest level since october 2012',0,0,1
'long setup',1,0,1
'baird upgrades tesla motors tsla outperform',1,0,1
'18 year old 14 year old never fb mom grandmas though',0,0,-1
'sector stocks leading today',1,0,1
'may notokay',0,1,-1
'best stocks 2012',1,0,1
'long 395great find hope wold another anly pzzi still holding second 12',1,0,1
'todays momentum movers',0,0,1
'google soon start selling chromebooks walmart staples',0,1,1
'found good bull setups week',1,0,1
'holding up relatively well compared broad market',0,0,1
'less stellar day held 50 day moving average',0,0,-1
'beautifully orchestrated marke',1,0,1
'up 7',0,0,1
'cures 96 hardtotreat',0,0,1
'long buying point',1,0,1
'let run',0,0,1
'yahoo extends bidding deadline interest grows',0,0,1
'you enjoy bull run started',1,0,1
'issues statement debt ceiling',0,0,-1
'theres good short spot',1,1,-1
'worst performers today mgm io 6',0,1,-1
'insiders selling',0,1,-1
'good news domestic automakers',1,0,1
'one cheerleaders show actual valuation work',0,0,-1
'up 95 market',0,0,1
'buying weakness',0,1,1
'three hot stocks today',0,0,1
'ready take',0,0,1
'report apple signs up googles cloud',0,0,1
'short setups looking nicereally nice',0,1,-1
'short mbly',0,1,-1
'push nly investment another time',0,0,-1
'notable gainers among liquid option names morning',0,0,1
'looking add gold miner possibly lower pe tech name close',0,0,1
'point possible move up',0,0,1
'let stock fall big time earnings',0,1,-1
'okay',1,0,1
'tremendous opportunity awaits',2,0,1
'up 10 premarket ready lift',0,0,1
'overall market improve',1,0,1
'gots aezs morning',0,0,1
'erinn murphy piper jaffray thinks finl buy',1,0,1
'debt crisis entered dangerous new phase',0,2,-1
'mu may go down 6 bear pattern confirmed',0,0,-1
'looking good note broke area lighter volume',1,1,1
'cracking' ,0,0,-1
'bullish crossovers',0,0,1
'still interesting finance play one since 14s hold',0,0,1
'broke downtrend line ready launch 200 day moving average',0,1,1
'stocks came up screens longs',1,0,1
'defying downturn',0,1,1
'soars premarket',0,0,1
'stock buy',1,0,1
'pain' ,0,1,-1
'hi beta hi performers',0,0,1
'trouble earnings gap still unfilled',0,1,-1
'calls nice gains still holding',1,0,1
'long look like 510 run awaits',1,0,1
'bull move ended waiting next setup',0,0,-1
'trying lead higher',0,0,1
'bought back shares today',0,0,1
'getting close 200 11087 hasnt closed above 200 since july 31 2015 significant',0,1,1
'addding tsla ss added small vrx long tsla vrx',1,0,1
'sold xoma',0,0,-1
'nice blurb bbry',0,0,1
'nice reversal',0,0,1
'im watchingand buy targets',1,0,1
'okay catch  knives',1,0,1
'barclays signs apple pay',0,0,1
'looking weak',0,1,-1
'markets still acting weak',0,1,-1
'shortput positions looking good wait market downturn confirm',1,2,-1
'bullish nflx day trade setup',0,0,1
'unusual call activity',0,0,1
'institutions seem like class stocks',0,0,1
'loading spy aapl puts think toppy',0,0,-1
'watch tsla 345',0,0,1
'still bear market',0,0,-1
'china winners',1,0,1
'stock options trade would doubled money',0,0,1
'master class conquer mobile astonishing',0,0,1
'got hit hard lower',0,0,-1
'biggies must loading up lows',0,0,1
'hard diminish lead',0,1,1
'inverse head shoulders forming',0,0,1
'indices rallying today lot highly covered companies underperforming',0,1,-1
'gpro up',0,0,1
'embarrassing china numbers',0,1,-1
'possible target',0,0,1
'rally friday new52weekhighs',0,0,1
'long setup closed above 20ma',1,1,1
'closed green bullish',0,1,1
'bumping head declining daily 8ma overhead resistance',0,1,-1
'least you didnt stop',0,0,-1
'finds support',0,0,1
'longterm potential robust',0,0,1
'hopefully peeps shorting camt scalps',0,1,-1
'time short tsla',0,1,-1
'keep stock watch list',0,0,1
'gap up tomorrow',0,0,1
'demand ahead strongest growth',1,0,1
'updated core4 portfolio',0,0,1
'new hod conviction keeping 570 watch resistance',0,1,1
'long market',1,0,1
'acting tough big volume tape',0,0,1
'best outperformers ranked',1,0,1
'infection worries prompt regulatory reviews',0,1,-1
'back back intraday reversals look below',0,0,-1
'weekly 625 calls 4231',0,0,1
'watchlist top stocks',0,0,1
'would consider opportunity add position company right track still improving sales',2,0,1
'markets still acting weak',0,1,-1
'bear flag',0,0,-1
'took endp long',1,0,1
'yes buy everything up',1,0,1
'brent back below 49',0,0,-1
'premier retail dividend play',1,0,1
'beat up ah',0,0,1
'shipments slid 96 lowest quarterly total since 2007 dethrones',0,0,-1
'long',1,0,1
'bullish crossovers',0,0,1
'trending',0,0,1
'unusual call activity',0,0,1
'nice day rally',0,0,1
'added long friday close',1,0,1
'looks like might break down im',0,1,-1
'long 395great find hope wold another anly pzzi still holding second 12',1,0,1
'pushing channel development',0,0,1
'bot ezpw',0,0,1
'like trade 200 sma',0,0,1
'short' ,0,1,-1
'chunk dec 35 puts bought',0,0,-1
'not time buy',1,0,-1
'round 2 short',0,1,-1
'580 coming quick fed supports markets 610',0,0,1
'debt crisis entered dangerous new phase',0,2,-1
'stocks came up screens longs',1,0,1
'sector stocks leading today',1,0,1
'short market',0,1,-1
'airplane hospitality industries set sights cuba',0,0,1
'16 conviction im buyer',0,1,1
'nflx 44b',0,0,1
'seeing competition',0,0,-1
'competitors worry blackberry inevitable successor northern telecom much competent leadership',1,2,1
'moved upper bollinger band',0,0,1
'unusual call activity',0,0,1
'4 shorts',0,1,-1
'top 5 stock picks',0,0,1
'ascending base breakout starting gain traction strong stock',2,0,1
'enjoyed shorting anglo last weeks',1,1,-1
'top holdings',0,0,1
'aapl cleary surpassed bb',0,0,-1
'going down',0,0,-1
'stochastic overbought',0,1,-1
'expands share repurchase program',0,0,1
'play safe long make sure you dont go long money',2,0,1
'covered',0,0,1
'bullish yeah ewz',0,0,1
'okay position',1,0,1
'new rsi signal created cost buy',1,0,1
'global pc shipments fell 96 q1 msft destroyed pc market',0,1,-1
'holding up well today',0,0,1
'unusual call activity',0,0,1
'higher',0,0,1
'deutsche bank cuts starbucks hold premium valuation',0,0,-1
'stocks support w high trade quality',0,0,1
'gapping up time highs',0,0,1
'downgrade' ,0,1,-1
'netapp downgraded macquarie underperform',0,2,-1
'short tsla',0,1,-1
'shipments slid 96 lowest quarterly total since 2007 dethrones',0,0,-1
'fed cuts rates forecast calls go 100',0,0,1
'lost revenue not good',1,1,-1
'finding support',0,0,1
'confirmation hold bottom looks like',0,0,1
'sounds like well see green tomorrow',0,0,1
'closed friday rs line new highs',0,1,1
'beautiful trendbase technicals pointing up',1,0,1
'airplane hospitality industries set sights cuba',0,0,1
'aapl signs up google cloud',0,0,-1
'heading back down not sure goes without news',0,0,-1
'225 million new internet users added globally every year',0,0,1
'unusual call buying',0,0,1
'obby judge garland risk losing case',0,1,-1
'probably long',1,0,1
'unusual call activity',0,0,1
'loooooongggggg base',0,0,1
'pypl w solid start ecommerce checkout',0,0,1
'want go morning time looking chart',0,0,1
'nobody recommending sale stock big things coming',0,0,1
'longerterm technical swing long basis',1,0,1
'buying last round shorts next week',0,1,-1
'stock winner',1,0,1
'pivotal upgrades alphabet ahead q1 results',0,0,1
'monday sold',0,0,-1
'stomach high risk left',0,1,-1
'still up screen',0,0,1
'upside today catalyst guy run',0,0,1
'shorts made killing last couple days',0,1,-1
'looking add shares get new high breakout',0,0,1
'whisperbeat' ,0,0,1
'bmw entering rideshare market i3',0,0,1
'rally friday new52weekhighs',0,0,1
'staying strong',1,0,1
'tsla roll yet',0,0,-1
'stock receives ratings downgrade today jefferies',0,1,-1
'looks weak stay short spy till',0,2,-1
'small pos short 180 wkly puts',0,1,-1
'downward trendline',0,1,-1
'notokay wake up 20s worth look',0,1,-1
'real assets',0,0,1
'finding support',0,0,1
'buy 3 stocks theres blood streets',1,0,1
'great short entry right',1,1,-1
'google inc completes acquisition icoa',0,0,1
'stocks higher afternoon trade',0,0,1
'looking continuation volume increase',0,0,1
'top netpayoutyields',0,0,1
'actively head shoulder progress',1,0,-1
'personal story sharing declining fb feeds start look like twtr',0,1,-1
'worst performers',0,1,-1
' okay testing 200 day',1,0,1
'bad apple',0,1,-1
'reward better good earnings',3,0,1
'daily sales slowing',0,1,-1
'play tmrw',0,0,1
'sector stocks leading today',1,0,1
'bidding war picks up company',0,0,1
'beaten down hated',0,0,-1
'china winners',1,0,1
'announces record esports viewership',0,0,1
'shares up 7 hours beats',0,0,1
'seriously nothing says strong growth like well played',1,1,1
'call credit spread',0,0,1
'hitting everything sight short',0,1,-1
'bought 3500 shares today',0,0,1
'lnkd great doesnt potential side fb',1,0,1
'short somewhere high thing b short 3 soon',0,2,-1
'iphone really annoying',0,1,-1
'bought bought fb',0,0,1
'50 gain levels',1,0,-1
'companies shld worried icloud',0,0,-1
'indicators turning up bounced support',0,0,1
'us adds 321k jobs november unemployment rate remains',0,1,1
'massive logistics capex result missed earnings',0,1,-1
'great company',1,0,1
'long aapl',1,0,1
'move up',0,0,1
'looks like nice riskreward starting initiate position looks like nice riskreward starting initiate position',0,0,1
'favorite stocks',1,0,1
'buy wfm',1,0,1
'elon musks comparision tsla aapl notokay go',0,1,-1
'run run amzn up 44',0,0,1
'covered call',0,0,1
'earnings good',1,0,1
'tremendous opportunity awaits',2,0,1
'downgrade',0,1,-1
'fb ibb still weak',0,1,-1
'dividend hike green light',0,0,1
'guess everyone wants 620',0,0,1
'good load up confident',2,0,1
'long' ,1,0,1
'aggressive buy',1,0,1
'highest call put ratio',1,0,1
'short',0,1,-1
'twtr words',0,0,-1
'stream bullish you going biggest billions',0,0,1
'nice couple mini trades',0,0,1
'short 618 retracement trendline resistance',0,1,-1
'tsla recall cover short',1,2,-1
'breakouts',0,0,1
'looking oversold bounce',0,0,1
'topping tail short',0,1,-1
'naturalgas settles 3year low',0,0,-1
'decent co get bought got 450',0,0,1
'notokay make real money hey barely hang',0,1,-1
'long buying point',1,0,1
'trade',0,0,1
'support 21293 support 20945',0,0,1
'aapl new long 11061 broke',1,1,1
'analysts impressed progress',2,0,1
'offshoring jobs production',0,0,1
'stocks insiders bullish',0,0,1
'time stomp dreams',0,0,-1
'biggest gainers today large caps',0,0,1
'great short setting up',1,1,-1
'holding up well today',0,0,1
'stocks insiders bullish',0,0,1
'tsla dump',0,1,-1
'highest call put ratio',1,0,1
'okay stock',1,0,1
'massive short squeeze opportunity',1,1,-1
'exdividend coming fall',0,1,-1
'impressive numbers',1,0,1
'todays losers',0,0,-1
'grpn might selling ahead p earnings',0,1,-1
'excited plays',1,0,1
'sold tsla',0,0,-1
'ive picking up railroad stocks retirement acct',0,0,1
'longs' ,1,0,1
'2 retailers whose stocks',0,0,1
'downgrade',0,1,-1
'tol higher',0,0,1
'75k went ask',0,0,-1
'bottom losses',0,1,-1
'okay work',1,0,1
'best outperformers ranked',1,0,1
'tsla auto stock showing gain yeartodate',1,0,-1
'breakout likely',0,0,1
'buddy bet bank',0,0,1
'going down',0,0,-1
'considering bid',0,0,1
'almost outside day down',0,0,-1
'5 toxic stocks raising red flags sell',0,1,-1
'high risk could sweet st runner jigginess exits',1,2,1
'waking up',0,0,1
'not time buy',1,0,-1
'trying lead higher',0,0,1
'indices rallying today lot highly covered companies underperforming',0,1,-1
'many traders short',0,1,-1
'multiyear stock breakouts',0,0,1
'fast 56pc dive',0,0,-1
'resistance breached last week',0,1,1
'fast money says short ahead black friday',0,1,-1
'got short even work you jump money trade',0,1,-1
'recall model x',0,1,-1
'barclays signs apple pay',0,0,-1
'could offer support revisit jump long bus',1,0,1
'tight avail stock shorting',0,1,-1
'announces sale partial stake',0,0,1
'down 20 afterhour market',0,0,-1
'biggest gainers today large caps',0,0,1
'big drop hedge fund exposure market even sharks dont trust market',0,0,-1
'short',0,1,-1
'2nd raise year ncreases quarterly cash dividend 20 percent',0,0,1
'getting ready sell premiumm',0,1,-1
'stochastic overbought',0,1,-1
'kndi china electric car maker china car sales 78',0,0,1
'looking strong bounce lunchtime rally coming',1,0,1
'looking strong bounce lunchtime rally coming',1,0,1
'ciscosynata deal gamechanger csco',0,0,1
'running cloud bottom',0,0,-1
'next q good short',1,1,-1
'reasons caution chinese stocks',0,1,-1
'ready pop',0,0,1
'baltic dry index lower 8 days 30 years',0,0,-1
'amazon declares best ever black friday cyber monday kindle family',1,0,1
'working cuba deals',0,0,1
'sounds bullish',0,0,1
'aapl new long 11061 broke',1,1,1
'giddy up',0,0,1
'holy green day batman luv plan comes together',0,0,1
'sold celg agio',0,0,-1
'rally friday new52weekhighs',0,0,1
'seems like good short setup',1,1,-1
'unusual call activity',0,0,1
'eps growth around 12 far',0,0,1
'moved upper bollinger band',0,0,1
'breaks major support',0,1,-1
'look amzn 600',0,0,1
'sold' ,0,0,-1
'up almost 11',0,0,1
'name',0,0,-1
'mkt stableize little',0,0,1
'santa rally blow top',0,0,1
'cloud software company company transformed',0,0,1
'ended day down',0,0,-1
'closed friday rs line new highs',0,1,1
'still bear market',0,0,-1
'bearish engulfing candle',0,1,-1
'tomorrow party time bears',0,0,-1
'big qqq up day',0,0,1
'slipping',0,1,-1
' okay days appear ',1,0,1
'okay start quietly ',1,0,1
'aug 645 calls 550',0,0,1
'parties volatility back',0,1,-1
'huge buy names',1,0,1
'go up 16 news',0,0,1
'owngrade',0,1,-1
'play longs',1,0,1
'earning play fast 47 puts vrx 34 puts bidu 1825 puts',0,0,-1
'sinks 35',0,0,-1
'magically bought dollar',0,0,1
'stares abyss',0,0,-1
'2 retailers whose stocks',0,0,1
'okay small mww ',1,0,1
'found good bull setups week',1,0,1
'raises q2 fy12 guidance',0,0,1
'ill take side trade',0,1,1
'massive recent recovery toward new highs give real shareholders encouragement questcor',1,0,1
'wilful infringement not go calculations patent damages aapl',0,2,-1
'report apple signs up googles cloud',0,0,-1
'sector stocks leading today',1,0,1
'first quarter amazing',0,0,1
'biggest gainers today large caps',0,0,1
'thats you want buy',1,0,1
'pushing 12',0,0,1
'going end red',0,0,-1
'stocks support w high trade quality',0,0,1
'issues already priced',0,0,1
'may rebound faster',1,0,1
'guess late traders stocking up tsla',0,1,1
'near 3 drop thats lot',0,0,-1
'sold' ,0,0,-1
'rally friday new52weekhighs',0,0,1
'may ripe takeover targe',0,0,1
'watch everyone tuesday night serious breakout',0,1,1
'oil prices down oil stocks looking less cheap',0,0,-1
'stochastic overbought',0,1,-1
'betting goog buys',0,0,1
'highest call put ratio',1,0,1
'going down',0,0,-1
'ended day down',0,0,-1
'breakout regional banking',0,0,1
'somewhat tempting long side',1,0,1
'new bullish conversation activity',0,0,1
'look good',1,0,1
'careful reverse fast',0,0,-1
'short',0,1,-1
'good load up confident',2,0,1
'wont pay anymore real risk',0,0,-1
'positive outcome w lung study58 may see 13d filing soros',1,0,1
'google ibm arm amd begin assault intels server franchise',0,1,1
'support 50sma good long trade tight stop',2,0,1
'report apple signs up googles cloud',0,0,1
'get up bermuda triangle plenty daylight above',0,0,1
'institutions seem like class stocks',0,0,1
'075 trading weak',0,1,-1
'going epic',0,0,1
'good thing sne learnt integrating devices together tv',1,0,1
'still top dog',0,0,1
'stock 41 upside',0,0,1
'nice day rally',0,0,1
'ltm selling far large bearish channel up formed',0,2,-1
'nice start',0,0,1
'closed buy',1,1,1
'another sell rating',0,1,-1
'valuation downgraded today would imagine trade red least day',0,1,-1
'tsla short',0,1,-1
'trov reliably finding cancer mutations jackpot',0,0,1
'downgrade' ,0,1,-1
'nice little cupandhandle shaping up favours good day index',1,0,1
'blew zmh',0,0,-1
'looks like bouncing nice volume 577 bottom',0,0,1
'blackberry messenger second facebook user loyalty',0,0,1
'wayyy overvalued right may take short pos',0,2,-1
'gaining momentum nice buy signals',2,0,1
'surges deal',0,0,1
'long morning',1,0,1
'trade continuing nicely yesterday looking strong',1,0,1
'slowmotion disruption global auto industry',0,1,1
'bto three 110 puts 134',0,0,-1
'apples iphone se sold flop',0,0,-1
'potential intermediate top uptrend',0,0,1
'stocks support w high trade quality',0,0,1
'closng higher',0,0,1
'shortterm forecast bearish',0,1,-1
'take you',0,0,1
'lets see 14 today',0,0,1
'bought call omnivision tech beat earnings',0,0,1
'pie sky',0,0,1
'eps growth around 12 far',0,0,1
'could pride social media gettin ready fall chart rolling',0,1,-1
'producing bullish macd xover',0,0,1
'buys',0,0,1
'market getting crushed today',0,0,-1
'bidders line up',0,0,1
'expecting spy close above',0,0,1
'down 11 short expectations',0,1,-1
'short setups looking nicereally nice',0,1,-1
'longs',1,0,1
'notice doomsaying bears disappear climbs',0,1,1
'recessions declines',0,2,-1
'watch showing serious demand',0,1,1
'new large player sells',0,1,-1
'biggest market losers',0,0,-1
'prob buy',1,0,1
'overbought',0,1,-1
'sales exceed target profitability guidance amended upward',1,0,1
'red bell',0,0,-1
'stock hit 170 easily',1,0,1
'downbeaten stocks may ripe buys',0,0,1
'buy safety equipment maker 25 billion',1,0,1
'weak close',0,1,-1
'looks like could fall apart market not liking',0,1,-1
'okay getting ',1,0,1
'facebook down 10 minutes',0,0,-1
'monday bulls',0,0,1
'todays top gainers',0,0,1
'tesla motors recalls',0,1,-1
'aggressive buy',1,0,1
'mentioned potential suitee suitor',0,0,1
'you really think 4 weeks capture 10 impossible',0,1,-1
'friday last chance 2',0,0,1
'excellent factual bear argument',1,1,-1
'bears take clear near term advantage',1,0,-1
'relative weakness pretty apparent',0,1,-1
'yhoo 261',0,0,1
'tplm triangle petroleum 9803 2m expanding caliber',0,0,1
'downbeaten stocks may ripe buys',0,0,1
'downgrade',0,1,-1
'isrg short',0,1,-1
'pozn 30',0,0,1
'210 vs 090 est prior revised 2540 1760',0,0,-1
'daily mail enters competition acquire yah',0,0,1
'stocks higher afternoon trade',0,0,1
'watchlist top stocks',0,0,1
'wants ta ceo says taxes may make co leave',0,0,-1
'viab down 40',0,0,-1
'sudden optimism iphone sales okay expected',1,0,1
'google ibm arm amd begin assault intels server franchise',0,1,1
'monday sold',0,0,-1
'earning play fast 47 puts vrx 34 puts bidu 1825 puts',0,0,-1
'bullish crossovers',0,0,1
'watchlist top stocks',0,0,1
'looks constructive',1,0,1
'unt trying break 5 day range sdrl 369 long',1,1,1
'failed breakouts failed setups limping crutches next week',0,2,-1
'shorting close might play high beta reversing',0,1,-1
'long play another consistent profit zone',1,0,1
'good economy',1,0,1
'todays bull flag',0,0,1
'inside week buy triggers',1,0,1
'insiders selling',0,1,-1
'long buying point',1,0,1
'insiders selling',0,1,-1
'revenue grew doubledigit',0,0,1
'hangin thread click away cliff drop',0,0,-1
'long tsla',1,0,1
'recalls 2700 model x cars',0,1,-1
'process streamlining structure especially divestment noncore businesses',0,1,1
'play longs',1,0,1
'macd adx crossing signal lines long setup',1,0,1
'yahoo facebook ad partnership talks',0,0,1
'buy dip',1,0,1
'break 5min',0,1,1
'long 395great find hope wold another anly pzzi still holding second 12',1,0,1
'fed cuts rates forecast calls go 100',0,0,1
'parties volatility back',0,1,-1
'up almost up around',0,0,1
'lei higher',0,0,1
'breakout watch',0,0,1
'adding position',0,0,1
'looks good weekly chart',1,0,1
'holding up relatively well compared broad market',0,0,1
'bullish crossovers',0,0,1
'top stocks 2015 ready lead 2016',0,0,1
'making new hod',0,0,1
'defect recalls',0,2,-1
'bullish stocks dip',0,0,1
'strong move today junior gold miners keep eye gap fill',1,0,1
'tomorrow party time bears',0,0,-1
'cheap increasing fees',0,0,1
'insiders selling',0,1,-1
'coal shipping sectors could rise',1,0,1
'small businesses called yelp scam years',0,1,-1
'weekly 120 puts 283',0,0,-1
'looking good calls active',1,0,1
'may try short',0,1,-1
'equity indexes working positive engulfing march',1,0,1
'continue using profits one industry get innovate develo',1,0,1
'combine 37 billion deal',0,0,1
'deutsche bank downgrades',0,1,-1
'fb taking shine aapl goog',0,0,1
'holding up nicely',0,0,1
'bought fb 111 calls',0,0,1
'accuses znga copyright infringement',0,2,-1
'airplane hospitality industries set sights cuba',0,0,1
'shipments slid 96 lowest quarterly total since 2007 dethrones',0,0,-1
'joke bubble buyerbeware',0,0,-1
'azpn worth 20 share not 40',0,0,-1
'come run bulls today',0,0,1
'wfc 830',0,0,-1
'5 best analyst rated stocks',1,0,1
' okay investors  apple',1,0,1
'okay mark bounce 50sma daily',1,0,1
'unusual call activity',0,0,1
'recessions declines',0,2,-1
'buying last round shorts next week',0,1,-1
'buy weakness',1,1,1
'good time buy',2,0,1
trending,0,0,1
'express scripts loses',0,1,-1
'debt crisis entered dangerous new phase',0,2,-1
'shorted down',0,0,-1
'bullish yeah smh',0,0,1
'call sweepers stepping up morning',0,0,1
'failed breakouts failed setups limping crutches next week',0,2,-1
'add' ,0,0,1
'hearing rumours major joint venture announcement',0,0,1
'nlsn launching marketing cloud',0,0,-1
'moodys downgrade',0,1,-1
'tesla dropped hard j morning',0,1,-1
'15 years release windows xp still 3rd popular os',1,0,1
'weakness could opportunity good sell nov put reentry',2,2,1
'citing positive spending trends',1,0,1
'isnt going anywhere buying',0,0,1
'sector stocks leading today',1,0,1
'play longs',1,0,1
'shoots moon favorite pumper',1,0,1
'best performers',1,0,1
'equities recently tagged undervalued',0,0,1
'okay flag',1,0,1
'enough shares beast keeps moving',0,0,1
'added dnkn longs',1,0,1
'bears take clear near term advantage',1,0,-1
'top 5 stock picks',0,0,1
'people still coming eod could explosive shorts get caught',0,1,1
'moneylosing overvalued china ipo junk',0,1,-1
'bigger win',1,0,1
'honestly disappointing',0,1,-1
'225 million new internet users added globally every year',0,0,1
'grab cheap',0,0,1
'adding expe pcln mix soon already ctrp trip',0,0,1
'short setups looking nicereally nice',0,1,-1
'ts time short point',0,1,-1
'today aside setting up another drop overvalued sector',0,1,-1
'trending',0,0,1
'tsla auto stock showing gain yeartodate',1,0,-1
'ready break qcom watching 557',0,1,1
'bearish charts keep getting worse',0,2,-1
'making kinds gains',1,0,1
'looking add gold miner possibly lower pe tech name close',0,0,1
'looking weak possibly ready let go',0,1,-1
'marriott wins new starwood deal raising cash portion bid',0,0,1
'looks like one best values lithium stocks space',1,0,1
'watchlist top stocks',0,0,1
'soars premarket',0,0,1
'bbry smack down looks legitimate gs ms',0,0,-1
'allow growing middle class working',0,0,1
'see 410',0,0,1
'name',0,0,-1
'oil break adding chevron',0,1,1
'2 today',0,0,-1
'falls 18 premarket q3 sales results',0,0,-1
'growing customers globally e stay long',1,0,1
'littlediscussed problem pro watching',0,1,-1
'upward movement expected',0,0,1
'market seems stuck mud',0,0,-1
'get next run up',0,0,1
'fed cuts rates forecast calls go 100',0,0,1
'buy dip',1,0,1
'next year could good year would like start adding soon',1,0,1
'stock trading lower today warning upbeat earnings results',0,1,-1
'bear raid',0,0,-1
'curing overbought conditions',0,1,-1
'launch updated model steeper price tag',0,0,1
'getting kneecapped bexp selling dirt cheap',0,1,-1
'amzn becoming goto site almost categories ecommerce',0,0,1
'getting sold',0,0,-1
'trending',0,0,1
'aapl could pick em up',0,0,1
'higher afternoon trade buy point',1,0,1
'aapl new long 11061 broke',1,1,1
'puts came',0,0,-1
'record number passengers served 2015',0,0,1
'ure lots attractive suitors',1,0,1
'delivering goods lets see spill chinese internet names',0,0,1
'lows down',0,0,-1
'could lotto winners',1,0,1
'buy dip',1,0,1
'good place take shot',1,0,1
'5 reasons not buy gold',1,0,-1
'oversold conditions howing nice positive divergences chart',1,0,1
'stocks support w high trade quality',0,0,1
'buying fas last week play month wish woulda pulled trigger',0,0,1
'slow bleeding death likely horror show event',0,1,-1
'solarcity customers produce enough electricity power tesla fleet',0,0,1
'yhoo bidding heats up',0,0,1
'nice day rally',0,0,1
'sector taking beating recently could positive catch bid today',1,0,1
'downgrade',0,1,-1
'bmw entering rideshare market i3',0,0,1
'4271 float short lo httpstkscoe0dfp',0,1,-1
'interest level skyrocketed last two week',0,0,1
'new pm high',0,0,1
'nice day rally',0,0,1
'long',1,0,1
'3330 increased bullish conversations',0,0,1
'stochastic overbought',0,1,-1
'daily mail general trust eyeing yahoo',0,0,1
'received buy rating wells fargo',1,0,1
'taking small chill pill today',0,0,-1
'five stocks helped starboard values equity portfolio return 65 q1',0,0,1
'companies shld worried icloud',0,0,-1
'sector stocks leading today',1,0,1
'held trend line',0,0,1
'multiyear stock breakouts',0,0,1
'moved upper bollinger band',0,0,1
'five stocks helped starboard values equity portfolio return 65 q1',0,0,1
'miles beyond competition',0,0,1
'add',0,0,1
'buy dip',1,0,1
'price experiencing early rejection',0,1,-1
'play longs',1,0,1
'adding dips',0,0,1
'moved upper bollinger band',0,0,1
'yahoo extends bidding deadline interest grows',0,0,1
'sold tsla puts morning',0,0,-1
'top holdings',0,0,1
'short',0,1,-1
'close below monday freewater fall',0,1,-1
'aapl 144',0,0,1
'weak hands flushed metals miners okay ',1,2,1
'make hod longs',1,0,1
'13f shows new stakes',0,0,1
'omg omg excited',1,0,1
'stay long',1,0,1
'best outperformers ranked',1,0,1
'okay',1,0,1
'want stock keep going up',0,0,-1
'whats great move still hold since back day yesterday',1,0,1
'goes deep machinelearning ai territory new 125000 supercomputer',0,0,1
'chk 1356',0,0,1
'sellers saw yesterday',0,0,-1
'need fb unless you want content censored',0,1,-1
'ross stores upgraded outperform rbc capital markets',1,0,1
'upgraded',0,0,1
'longs',1,0,1
'downgraded neutral wedbush pt lowered',0,1,-1
'long tech calls',1,0,1
'nice day rally',0,0,1
'sqns drops 515',0,0,1
'soars premarket',0,0,1
'china february retail sales ecommerce remains resilient',0,0,1
'double bottom handle buy point',1,0,1
'torture',0,1,-1
'highflyers falling',0,1,-1
'trails msft orcl goog crm adbe',0,0,1
'quality stocks high cash returns',0,0,1
'running',0,0,1
'dont look dividend feb shareholders meeting',0,0,-1
'make ton money',0,0,1
'unusual call activity',0,0,1
'breaks major support',0,1,-1
'sanofi often wrong end business',0,1,-1
'opening buyer calls',0,0,1
'notable gainers among liquid option names morning',0,0,1
'receives sell compass point',0,1,-1
'still positive market bias sharp rally lowquality stocks points ongoing market gains',2,0,1
'stochastic overbought',0,1,-1
'earnings drive stock prices',0,0,1
'coal shipping sectors could rise',1,0,1
'long',1,0,1
'anyone long flush please accept condolences congrats short',1,1,-1
'thinking last entry good needs push',1,0,1
'position',0,0,-1
'waiting price enter buysupport zone strong support',1,0,1
'downgrade',0,1,-1
'got ta hold',0,0,1
'still massive weekly monthly uptrend',0,0,1
'aggressive buy',1,0,1
'keeps outperform rated',1,0,1
'stochastic overbought',0,1,-1
'good load up confident',2,0,1
'worst performers today rig 13',0,1,-1
'insiders selling',0,1,-1
'pie sky',0,0,1
'small caps threatening descending triangle breakdown',0,2,-1
'amazon selling surveillance cameras infected malware',0,1,-1
'htz lower',0,0,-1
'dont hang bull hat yet next week pop higher',0,0,1
'alphabet inc upgraded buy',1,0,1
'today bought',0,0,1
'brings upscale concept',0,0,1
'looking sharp move up equities',0,0,1
'im betting 52',0,0,-1
'careful reverse fast',0,0,-1
'own okay',1,0,1
'top 5 stock picks',0,0,1
'major skin gamepositive',0,0,1
'1000 increased bearish conversations',0,1,-1
'another sell rating sell rating',0,2,-1
'sold today',0,0,-1
'long buying point',1,0,1
'upgrade today ms overweight excellent company leadership',2,0,1
'buy dip',1,0,1
'callput buyers crushed',0,1,-1
'buy stop above 80',1,0,1
'airplane hospitality industries set sights cuba',0,0,1
'nice bounce',0,0,1
'overbought',0,1,-1
